id,type,mapped,owner,parent,outcome,reqSnippet
"RBAC-IGA-007","IGA Functional","true","IGA Platform","RBAC-CAP-803","Faster application onboarding","The system SHALL provide prebuilt connectors for common enterprise and SaaS systems"
"RBAC-IGA-008","IGA Functional","true","IGA Platform","RBAC-CAP-803","Long-tail application support","The system SHALL provide extensibility mechanisms where direct connectors do not exist"
"RBAC-IGA-009","IGA Functional","true","IGA Platform","RBAC-CAP-804","Foundational audit trail","The system SHALL provide comprehensive audit logging for identity, access, and governance actions"
"RBAC-IGA-010","IGA Functional","true","IGA Platform","RBAC-CAP-804","Full decision traceability","The system SHALL capture approver identity, timestamps, and before/after access state"
"RBAC-IGA-011","IGA Functional","true","IGA Platform","RBAC-CAP-804","Evidence retained per policy","The system SHALL support configurable audit log retention policies"
"RBAC-IGA-012","IGA Functional","true","IGA Platform","RBAC-CAP-804","Access drift visibility","The system SHALL detect and report governed directory and group membership changes"
"RBAC-IGA-013","IGA Functional","true","IGA Platform","RBAC-CAP-804","Exception and violation detection","The system SHALL detect access granted outside IGA-governed workflows"
"RBAC-IGA-014","IGA Functional","true","IGA Platform","RBAC-CAP-804","Proof of remediation","The system SHALL retain reconciliation actions and outcomes as audit evidence"
"RBAC-IGA-015","IGA Functional","true","IGA Platform","RBAC-CAP-803","Ongoing access validation","The system SHALL support periodic access certifications by role and/or entitlement"
"RBAC-IGA-016","IGA Functional","true","IGA Platform","RBAC-CAP-804","Certification evidence","The system SHALL retain certification decisions with reviewer, outcome, and timestamp"
"RBAC-IGA-017","IGA Functional","true","IGA Platform","RBAC-CAP-803","RBAC-native reviews","The system SHALL support role-level certifications"
"RBAC-IGA-018","IGA Functional","true","IGA Platform","RBAC-CAP-803","Closed-loop access removal","Automatically revoke access when removal is approved during certification"
"RBAC-IGA-019","IGA Functional","true","IGA Platform","RBAC-CAP-803","Scalable certification operations","The system SHALL support certification delegation, escalation, and overdue tracking"
"RBAC-IGA-020","IGA Functional","true","IGA Vendor","RBAC-CAP-803","Hybrid execution supported","The system SHALL support hybrid identity environments spanning on-prem and SaaS"
"RBAC-IGA-021","IGA Functional","true","IGA Vendor","RBAC-CAP-803","Parallel execution","The system SHALL support coexistence of on-prem and SaaS components"
"RBAC-IGA-022","IGA Functional","true","IGA Vendor","RBAC-CAP-803","No access disruption","The system SHALL support phased migration with legacy IAM"
"RBAC-IGA-023","IGA Functional","true","IGA Vendor","RBAC-CAP-105","Complete access visibility","The system SHALL ingest access from connected and non-connected apps"
"RBAC-IGA-024","IGA Functional","true","IGA Vendor","RBAC-CAP-105","Standard ingestion","The system SHALL support API, directory, JDBC, file ingestion"
"RBAC-IGA-025","IGA Functional","true","IGA Vendor","RBAC-CAP-201","Accurate role mapping","The system SHALL correlate accounts and entitlements to roles"
"RBAC-IGA-026","IGA Functional","true","IGA Vendor","RBAC-CAP-303","Privileged visibility","The system SHALL flag privileged access during ingestion"
"RBAC-IGA-027","IGA Functional","true","IGA Vendor","RBAC-CAP-201","Deterministic access","The system SHALL enforce RBAC role execution"
"RBAC-IGA-028","IGA Functional","true","IGA Vendor","RBAC-CAP-202","Policy-based access","The system SHALL support ABAC eligibility enforcement"
"RBAC-IGA-029","IGA Functional","true","IGA Vendor","RBAC-CAP-206","Lifecycle enforcement","Auto-revoke access on attribute change"
"RBAC-IGA-030","IGA Functional","true","IGA Vendor","RBAC-CAP-301","No uncontrolled access","The system SHALL prevent direct entitlement bypass"
"RBAC-IGA-031","IGA Functional","true","IGA Vendor","RBAC-CAP-404","Reliable fulfillment","The system SHALL execute provisioning independent of intake UI"
"RBAC-IGA-032","IGA Functional","true","IGA Vendor","RBAC-CAP-404","End-to-end provisioning","The system SHALL support cross-system orchestration"
"RBAC-IGA-033","IGA Functional","true","IGA Vendor","RBAC-CAP-504","Closed-loop governance","Auto-revoke access from certifications"
"RBAC-IGA-034","IGA Functional","true","IGA Vendor","RBAC-CAP-405","Reduced standing privilege","The system SHALL support just-in-time privileged access"
"RBAC-IGA-035","IGA Functional","true","IGA Vendor","RBAC-CAP-406","Time-bound enforcement","Automatically expire JIT access"
"RBAC-IGA-036","IGA Functional","true","IGA Vendor","RBAC-CAP-407","Auditable JIT","The system SHALL retain JIT approval and expiration evidence"
"RBAC-IGA-037","IGA Functional","true","IGA Vendor","RBAC-CAP-501","Ongoing validation","The system SHALL support role and entitlement certifications"
"RBAC-IGA-038","IGA Functional","true","IGA Vendor","RBAC-CAP-501","RBAC-native reviews","The system SHALL support role-level certifications"
"RBAC-IGA-039","IGA Functional","true","IGA Vendor","RBAC-CAP-501","Scalable certifications","The system SHALL support escalation and overdue tracking"
"RBAC-IGA-040","IGA Functional","true","IGA Vendor","RBAC-CAP-704","Audit defensibility","The system SHALL capture attributable audit logs"
"RBAC-IGA-041","IGA Functional","true","IGA Vendor","RBAC-CAP-701","Drift detection","The system SHALL detect out-of-band access"
"RBAC-IGA-042","IGA Functional","true","IGA Vendor","RBAC-CAP-702","Historical evidence","The system SHALL retain reconciliation history"
